Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,616080,560,21,11,53576,14480,0.500909
0.5,1.08e+06,150520,70,18,137560,27512,0.636715
0.6,1.25076e+06,0,92,18,189688,27512,0.5
0.7,970920,270000,93,24,189688,44888,0.758125
0.8,1.25156e+06,0,92,36,189688,53576,0.5
0.9,702960,540000,98,22,189688,68056,0.983102
1,1.24504e+06,0,92,47,189688,69504,0.5
1.1,751120,510000,102,23,189688,69504,0.964734
1.2,1.09356e+06,150000,53,49,126536,72400,0.634634
1.3,499880,690000,46,12,65623,71078,0.975106
1.4,988640,150000,82,38,136391,64240,0.648309
1.5,855000,390000,104,20,188519,53576,0.87758
1.6,1.12488e+06,125800,99,40,188519,55024,0.610453
1.7,945680,300000,106,25,188519,56472,0.788226
1.8,991560,255000,98,33,188519,57920,0.741217
1.9,981680,270000,107,26,188519,59368,0.755696
2,949920,285000,107,32,188519,60816,0.775249
2.1,1.04624e+06,210000,107,35,188519,62264,0.692945
2.2,928400,315000,104,35,188519,63712,0.804266
2.3,1.03124e+06,225000,104,38,188519,63712,0.708269
2.4,900360,345000,105,32,188519,65160,0.834122
2.5,1.0046e+06,240000,101,36,188519,65160,0.726002
2.6,900360,345000,107,32,188519,66608,0.834122
2.7,971440,285000,105,36,188519,68056,0.770129
2.8,976560,270000,106,36,188519,68056,0.756847
2.9,923640,315000,105,38,188519,69504,0.805508
3,959800,300000,106,36,188519,69504,0.784746
3.1,928400,315000,105,33,188519,69504,0.804266
3.2,945160,300000,107,36,188519,70952,0.788356
3.3,928400,315000,108,37,188519,70952,0.804266
3.4,955040,300000,104,40,188519,72400,0.785911
3.5,943400,300000,104,38,188519,72400,0.788795
3.6,934920,315000,104,39,188519,72400,0.802579
3.7,921880,330000,105,37,188519,72400,0.817305
3.8,923640,315000,106,36,188519,72400,0.805508
3.9,938280,315000,107,39,188519,72400,0.801715
4,955040,300000,105,39,188519,72400,0.785911
4.1,912000,330000,107,37,188519,72400,0.819951
4.2,940040,300000,105,39,188519,72400,0.789637
4.3,928400,330000,107,37,188519,72400,0.815579
4.4,912000,330000,107,37,188519,72400,0.819951
4.5,944800,300000,107,39,188519,72400,0.788445
4.6,949920,300000,104,39,188519,72400,0.787173
4.7,917120,330000,106,39,188519,72400,0.818575
4.8,928400,330000,106,37,188519,72400,0.815579
4.9,938280,300000,105,37,188519,72400,0.790079
5,923640,330000,106,37,188519,72400,0.816838
5.1,943400,300000,107,39,188519,72400,0.788795
5.2,913400,330000,108,37,188519,72400,0.819574
5.3,955040,300000,104,39,188519,72400,0.785911
5.4,927000,315000,107,38,188519,72400,0.804631
5.5,944800,315000,104,39,188519,72400,0.800051
5.6,912000,330000,107,37,188519,72400,0.819951
5.7,955040,300000,103,39,188519,72400,0.785911
5.8,908280,330000,106,37,188519,72400,0.820956
5.9,938640,315000,106,38,188519,72400,0.801623
6,928400,315000,107,39,188519,72400,0.804266
6.1,916760,330000,107,38,188519,73848,0.818672
6.2,938640,315000,108,39,188519,73848,0.801623
6.3,913400,330000,108,37,188519,73848,0.819574
6.4,955040,300000,106,40,188519,75296,0.785911
6.5,944800,300000,103,40,188519,75296,0.788445
6.6,895600,345000,105,39,188519,75296,0.83544
6.7,928400,330000,106,40,188519,76744,0.815579
6.8,900360,345000,105,39,188519,76744,0.834122
6.9,940040,300000,105,42,188519,78192,0.789637
7,901760,345000,108,42,188519,79640,0.833736
7.1,927000,330000,105,44,188519,79640,0.815948
7.2,906880,345000,104,42,188519,81088,0.832329
7.3,870360,375000,108,42,188519,82536,0.863396
7.4,912000,330000,107,45,188519,83984,0.819951
7.5,880240,375000,108,43,188519,85432,0.860578
7.6,901760,345000,106,43,188519,86880,0.833736
7.7,895600,345000,107,47,188519,88328,0.83544
7.8,853600,390000,110,46,188519,89776,0.877985
7.9,900360,360000,106,49,188519,91224,0.844728
8,863840,375000,107,47,188519,92672,0.865273
8.1,867560,390000,84,51,129024,95568,0.873965
8.2,840920,405000,12,51,152400,97016,0.890936
8.3,117280,840000,10,40,15873,98464,0.636949
8.4,120000,795000,13,26,21665,99912,0.647581
8.5,210000,570000,12,48,27632,102808,0.82439
8.6,195000,780000,12,46,30528,105704,0.735294
8.7,225000,885000,14,30,35127,107152,0.738802
8.8,315000,660000,16,46,38923,110048,0.888725
8.9,405000,780000,18,48,49484,112944,0.908972
9,450000,795000,25,45,57092,115840,0.928687
9.1,480000,765000,23,48,62207,118736,0.950207
9.2,525000,735000,26,53,62207,121632,0.972973
