Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,556080,556080,21,20,53576,53576,1
0.5,630000,615000,62,61,105704,105704,0.999855
0.6,630000,615000,63,61,105704,105704,0.999855
0.7,615000,630000,62,61,105704,105704,0.999855
0.8,630000,615000,62,62,105704,105704,0.999855
0.9,630000,630000,61,62,105704,105704,1
1,615000,630000,59,59,107711,106154,0.999855
1.1,645000,600000,33,35,107711,106154,0.998695
1.2,600000,645000,18,16,76770,75692,0.998695
1.3,645000,615000,23,22,76770,75692,0.999433
1.4,630000,615000,28,28,76770,75692,0.999855
1.5,630000,615000,38,39,76770,75692,0.999855
1.6,615000,630000,40,38,76770,75692,0.999855
1.7,645000,600000,41,42,76770,75692,0.998695
1.8,630000,630000,37,38,71736,71258,1
1.9,615000,630000,40,39,74632,74154,0.999855
2,615000,630000,35,33,71736,71258,0.999855
2.1,645000,600000,36,37,71736,71258,0.998695
2.2,630000,630000,37,38,71736,71258,1
2.3,615000,630000,40,39,74632,74154,0.999855
2.4,630000,615000,34,34,71736,71258,0.999855
2.5,630000,615000,36,37,71736,71258,0.999855
2.6,615000,630000,38,36,71736,69436,0.999855
2.7,645000,615000,38,35,72899,69436,0.999433
2.8,645000,600000,31,33,70003,69436,0.998695
2.9,615000,630000,33,32,70895,69436,0.999855
3,630000,615000,35,34,70895,69436,0.999855
3.1,645000,615000,35,35,70895,69436,0.999433
3.2,630000,615000,33,36,70895,69523,0.999855
3.3,600000,645000,35,32,71338,70003,0.998695
3.4,645000,600000,36,35,71338,70003,0.998695
3.5,630000,615000,37,37,71338,70003,0.999855
3.6,630000,630000,36,38,71338,72899,1
3.7,615000,630000,35,32,71338,70003,0.999855
3.8,645000,600000,36,35,71338,70003,0.998695
3.9,630000,615000,38,36,71509,70003,0.999855
4,645000,615000,38,39,71509,72899,0.999433
4.1,600000,645000,36,31,71509,70003,0.998695
4.2,660000,585000,36,35,71509,70003,0.996384
4.3,630000,615000,37,37,71509,70003,0.999855
4.4,630000,615000,40,37,74405,70003,0.999855
4.5,645000,615000,33,33,71509,69436,0.999433
4.6,630000,615000,35,34,71509,69436,0.999855
