Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,556080,556080,21,20,53576,53576,1
0.5,630000,615000,62,61,105704,105704,0.999855
0.6,630000,615000,63,61,105704,105704,0.999855
0.7,615000,630000,62,61,105704,105704,0.999855
0.8,630000,615000,62,62,105704,105704,0.999855
0.9,630000,630000,61,62,105704,105704,1
1,615000,630000,59,59,107711,106154,0.999855
1.1,645000,600000,33,35,107711,106154,0.998695
1.2,600000,645000,18,16,76770,75692,0.998695
1.3,645000,615000,26,25,76770,75692,0.999433
1.4,630000,615000,28,27,76770,75692,0.999855
1.5,630000,615000,34,33,76770,75692,0.999855
1.6,630000,615000,39,39,76770,75692,0.999855
1.7,630000,615000,41,43,76770,78588,0.999855
1.8,615000,645000,39,34,73323,70505,0.999433
1.9,660000,585000,39,36,73323,70505,0.996384
2,645000,600000,38,37,73323,70505,0.998695
2.1,630000,615000,40,40,76219,73401,0.999855
2.2,630000,630000,36,33,73323,70505,1
2.3,645000,600000,38,36,73323,70505,0.998695
2.4,645000,600000,38,37,73323,70505,0.998695
2.5,630000,615000,40,39,76219,73401,0.999855
2.6,630000,615000,35,33,72028,70505,0.999855
2.7,645000,615000,36,35,72028,70505,0.999433
2.8,630000,615000,38,35,72028,68127,0.999855
2.9,645000,600000,38,36,74924,68774,0.998695
3,645000,600000,32,34,72028,68774,0.998695
3.1,630000,630000,34,32,72028,68774,1
3.2,645000,600000,36,34,72028,68774,0.998695
3.3,630000,615000,37,35,72028,68774,0.999855
3.4,645000,600000,34,35,72028,68774,0.998695
3.5,615000,630000,36,32,72028,68774,0.999855
3.6,660000,600000,36,34,71509,68774,0.997738
3.7,645000,600000,37,36,71509,68774,0.998695
3.8,630000,615000,35,37,71509,71670,0.999855
3.9,600000,645000,37,29,71509,68774,0.998695
4,690000,570000,35,34,71509,68948,0.991011
4.1,630000,615000,36,35,71509,68948,0.999855
4.2,630000,615000,37,37,71509,71844,0.999855
4.3,615000,630000,36,30,71509,68948,0.999855
4.4,675000,570000,34,34,71509,69436,0.992937
4.5,630000,630000,36,35,71509,69436,1
4.6,630000,615000,40,35,74405,69436,0.999855
