Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,511080,601080,23,24,53576,53576,0.993494
0.5,600000,645000,50,36,88328,69504,0.998695
0.6,750000,495000,54,45,102808,72400,0.959738
0.7,705000,540000,61,43,108600,75296,0.982739
0.8,735000,510000,66,42,111496,76744,0.968372
0.9,780000,480000,59,50,111496,79640,0.946352
1,645000,600000,66,46,111496,82536,0.998695
1.1,750000,495000,61,45,112001,85432,0.959738
1.2,735000,510000,29,55,112001,88328,0.968372
1.3,435000,825000,39,48,79739,91224,0.912571
1.4,555000,690000,45,52,79739,94120,0.988379
1.5,585000,660000,47,55,82635,98464,0.996384
1.6,555000,690000,44,59,79739,101360,0.988379
1.7,540000,705000,45,60,79739,104256,0.982739
1.8,540000,720000,46,61,79739,108600,0.98
1.9,525000,720000,47,65,82635,111496,0.976056
2,525000,720000,45,67,79739,114392,0.976056
2.1,495000,750000,47,68,79739,118736,0.959738
2.2,525000,735000,46,71,79739,121632,0.972973
2.3,480000,765000,45,73,79739,125976,0.950207
2.4,480000,765000,47,74,79739,128872,0.950207
2.5,480000,765000,43,86,75586,133216,0.950207
2.6,435000,817240,45,101,75586,133216,0.914767
2.7,465000,788520,44,100,75586,133216,0.93755
2.8,450000,792760,43,105,75586,133216,0.929309
2.9,480000,762760,42,104,75586,133216,0.95078
3,405000,852560,34,102,56914,133216,0.887578
3.1,495000,744600,29,103,56914,133216,0.961036
3.2,285000,966680,30,102,56914,133216,0.771247
3.3,330000,917120,37,94,56914,133216,0.818575
3.4,480000,771240,29,103,56914,133216,0.948607
3.5,285000,966680,29,104,56914,133216,0.771247
3.6,360000,883960,38,93,56914,133216,0.84932
3.7,435000,805800,31,104,59810,133216,0.918017
3.8,285000,965280,30,102,56914,133216,0.771577
3.9,420000,825920,33,98,56914,133216,0.90404
4,375000,878840,27,103,55442,133216,0.860975
4.1,270000,976920,32,98,55442,133216,0.756766
4.2,465000,787640,30,101,55442,133216,0.937786
4.3,345000,902120,23,104,51503,133216,0.833637
4.4,255000,981680,34,94,51503,133216,0.74334
4.5,435000,825920,26,100,51503,133216,0.912311
4.6,285000,960160,27,102,54399,133216,0.772791
4.7,300000,943760,33,92,51503,133216,0.788705
4.8,405000,842320,22,102,44439,133216,0.890531
4.9,255000,986800,22,102,44439,133216,0.742235
5,285000,975160,28,93,44439,133216,0.769261
5.1,345000,897000,25,100,47335,133216,0.835052
5.2,285000,965280,21,102,44439,133216,0.771577
5.3,270000,981680,27,94,44439,133216,0.755696
5.4,345000,895600,24,100,44439,133216,0.83544
5.5,285000,960160,22,102,44439,133216,0.772791
5.6,270000,981680,27,96,44439,133216,0.755696
5.7,345000,910600,24,97,44439,133216,0.831313
5.8,300000,945160,22,102,44439,133216,0.788356
5.9,255000,996680,27,95,44439,133216,0.740131
6,345000,902120,25,96,44681,133216,0.833637
6.1,285000,960160,20,102,41785,133216,0.772791
6.2,240000,1.0032e+06,25,96,41785,133216,0.726284
6.3,330000,917120,22,98,41785,133216,0.818575
6.4,285000,965280,19,102,41181,133216,0.771577
