Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,691080,560,18,11,53576,14480,0.50081
0.5,1.095e+06,150520,24,10,66983,21720,0.634912
0.6,975000,270000,41,0,69879,27512,0.757199
0.7,1.245e+06,0,27,36,71327,53576,0.5
0.8,705000,540000,37,12,72775,62264,0.982739
0.9,1.02e+06,240000,43,28,75671,65535,0.722951
1,825000,420000,36,25,75671,66983,0.904306
1.1,915000,330000,39,23,78567,66983,0.819144
1.2,900000,345000,34,31,80015,68431,0.834221
1.3,840000,405000,39,28,81463,68431,0.891203
1.4,900000,360000,40,31,82911,69879,0.844828
1.5,870000,375000,41,32,84359,69879,0.8635
1.6,855000,390000,45,33,85807,71327,0.87758
1.7,870000,375000,44,32,87255,71327,0.8635
1.8,870000,390000,47,35,88703,72775,0.873267
1.9,870000,375000,46,34,90151,72775,0.8635
2,870000,375000,49,36,91599,74223,0.8635
2.1,855000,390000,49,36,93047,74223,0.87758
2.2,870000,375000,49,36,93047,75671,0.8635
2.3,870000,390000,50,36,94495,75671,0.873267
2.4,855000,390000,50,37,95943,77119,0.87758
2.5,870000,375000,49,36,97391,77119,0.8635
2.6,855000,390000,53,35,98839,78567,0.87758
2.7,855000,405000,55,34,100287,78567,0.886878
2.8,885000,360000,53,37,101735,80015,0.849026
2.9,840000,405000,53,36,101735,80015,0.891203
3,855000,390000,55,37,103183,81463,0.87758
3.1,855000,390000,59,35,104631,81463,0.87758
3.2,885000,375000,57,39,106079,82911,0.85923
3.3,855000,390000,59,39,107527,82911,0.87758
3.4,840000,405000,59,38,107527,82911,0.891203
3.5,885000,360000,61,41,108975,84359,0.849026
3.6,855000,405000,61,38,110423,84359,0.886878
3.7,855000,390000,61,41,111871,85807,0.87758
3.8,840000,405000,63,38,111871,85807,0.891203
3.9,870000,375000,62,42,113319,87255,0.8635
4,855000,390000,66,42,114767,87255,0.87758
4.1,870000,390000,65,45,116215,88703,0.873267
4.2,855000,390000,64,43,116215,88703,0.87758
4.3,840000,405000,65,42,117663,88703,0.891203
4.4,855000,390000,67,43,119111,90151,0.87758
4.5,855000,405000,66,42,119111,90151,0.886878
4.6,855000,390000,68,45,120559,91599,0.87758
4.7,855000,390000,70,45,122007,91599,0.87758
4.8,840000,405000,68,45,122007,93047,0.891203
4.9,855000,390000,70,45,123455,93047,0.87758
5,840000,420000,71,43,124903,93047,0.9
5.1,855000,390000,72,46,124903,94495,0.87758
5.2,840000,405000,73,45,126351,94495,0.891203
5.3,870000,375000,74,47,127799,95943,0.8635
5.4,840000,420000,74,45,127799,95943,0.9
5.5,840000,405000,75,44,129247,95943,0.891203
5.6,855000,390000,79,47,130695,97391,0.87758
5.7,840000,405000,85,48,130695,97391,0.891203
5.8,861720,390000,95,49,132143,98839,0.87564
5.9,851520,390000,104,49,132143,98839,0.878589
6,849000,405000,106,48,133591,98839,0.888602
6.1,829040,420000,108,49,135039,100287,0.903142
6.2,864880,390000,106,49,135039,100287,0.874732
6.3,822880,420000,106,50,136487,101735,0.904917
6.4,844040,405000,105,49,132096,101735,0.890033
6.5,838240,405000,108,50,132096,101735,0.891714
6.6,835560,420000,109,53,132096,103183,0.90127
6.7,855160,390000,106,53,132096,103183,0.877533
6.8,817760,435000,105,53,133623,104631,0.91462
6.9,817760,420000,109,51,131733,104631,0.906397
7,812120,435000,111,51,131733,104631,0.91622
7.1,865560,390000,92,55,129942,105747,0.874537
7.2,811480,435000,75,46,129942,97555,0.916401
7.3,810000,435000,73,46,128243,97555,0.916822
7.4,870000,375000,74,49,129691,99003,0.8635
7.5,810000,435000,76,48,129691,99003,0.916822
7.6,870000,390000,87,51,131139,100451,0.873267
7.7,829640,420000,102,49,131139,100451,0.90297
7.8,838080,405000,101,51,132587,101899,0.89176
7.9,843720,405000,102,50,134035,101899,0.890126
8,825920,420000,102,50,132096,101899,0.90404
8.1,858720,390000,101,53,131072,103347,0.876505
8.2,825560,420000,102,51,134005,103347,0.904144
8.3,821320,435000,105,50,134005,103347,0.913612
8.4,822200,420000,104,52,133968,104795,0.905114
8.5,815680,435000,105,51,133968,104795,0.915209
8.6,848480,390000,103,54,133033,106243,0.879473
8.7,821320,435000,104,52,133033,106243,0.913612
8.8,810560,435000,104,52,133033,108380,0.916663
8.9,837200,405000,105,51,132096,101605,0.892016
9,814800,435000,107,50,132096,101605,0.915459
9.1,860120,390000,103,55,133390,103053,0.876101
9.2,837200,420000,101,49,134838,103053,0.900801
